,EMG,EDA
535,128,145
536,128,145
537,128,145
538,128,146
539,128,145
540,127,145
541,128,145
542,128,145
543,129,145
544,128,146
545,127,145
546,128,146
547,126,145
548,128,145
549,127,145
550,128,145
551,128,146
552,127,146
553,128,145
554,128,146
555,127,146
556,127,146
557,128,146
558,128,146
559,128,146
560,128,146
561,127,146
562,127,145
563,128,146
564,127,145
565,129,145
566,128,146
567,127,146
568,127,146
569,127,146
570,128,146
571,128,146
572,128,146
573,129,146
574,129,146
575,128,146
576,128,146
577,128,146
578,128,146
579,129,146
580,128,146
581,127,146
582,128,146
583,129,146
584,127,146
585,128,146
586,128,146
587,127,146
588,127,146
589,127,146
590,129,146
591,128,146
592,128,146
593,129,146
594,127,146
595,127,146
596,127,146
597,128,146
598,127,146
599,127,146
600,128,146
601,127,146
602,127,146
603,127,146
604,126,146
605,128,146
606,126,146
607,131,146
608,130,146
609,128,146
610,128,146
611,128,146
612,129,146
613,128,146
614,127,146
615,128,146
616,128,146
617,129,146
618,126,146
619,127,146
620,128,146
621,127,146
622,128,146
623,128,146
624,127,146
625,127,146
626,127,146
627,127,146
628,127,146
629,128,146
630,127,146
631,127,146
632,127,146
633,128,146
634,128,146
635,127,146
636,127,146
637,130,146
638,126,146
639,128,146
640,127,146
641,128,146
642,128,146
643,126,146
644,128,146
645,127,146
646,127,146
647,127,146
648,128,146
649,128,146
650,127,146
651,128,146
652,127,146
653,128,146
654,128,146
655,127,146
656,128,146
657,127,146
658,127,146
659,128,146
660,127,146
661,129,146
662,127,146
663,128,146
664,129,146
665,128,146
666,128,146
667,128,146
668,128,146
669,128,146
670,127,146
671,128,146
672,127,146
673,128,146
674,128,146
675,127,146
676,128,146
677,127,146
678,127,146
679,128,146
680,128,146
681,126,146
682,127,146
683,127,146
684,127,146
685,127,146
686,127,146
687,128,146
688,127,146
689,130,146
690,129,146
691,128,146
692,128,146
693,129,146
694,127,146
695,127,146
696,128,146
697,126,146
698,126,146
699,127,146
700,127,146
701,127,146
702,131,146
703,128,146
704,127,146
705,128,146
706,128,146
707,129,146
708,128,146
709,127,146
710,126,146
711,128,146
712,128,146
713,127,146
714,129,146
715,128,146
716,129,146
717,128,146
718,126,146
719,127,146
720,128,146
721,128,146
722,128,146
723,127,146
724,128,146
725,128,146
726,128,146
727,127,146
728,128,146
729,128,146
730,128,146
731,128,146
732,128,146
733,129,146
734,127,146
735,128,146
736,128,146
737,130,146
738,125,146
739,128,146
740,128,146
741,129,146
742,126,146
743,128,146
744,127,146
745,128,146
746,128,146
747,131,146
748,127,146
749,127,146
750,128,146
751,126,146
752,127,146
753,127,146
754,127,146
755,125,146
756,127,146
757,128,146
758,128,146
759,128,146
760,128,146
761,127,146
762,128,146
763,129,146
764,127,146
765,127,146
766,128,146
767,128,146
768,127,146
769,127,146
770,128,146
771,128,146
772,128,146
773,127,146
774,128,146
775,129,146
776,127,146
777,128,146
778,127,146
779,128,146
780,128,146
781,129,146
782,127,146
783,128,146
784,129,146
785,128,146
786,128,146
787,128,146
788,127,146
789,128,146
790,127,146
791,128,146
792,128,146
793,128,146
794,127,146
795,127,146
796,126,146
797,127,146
798,129,146
799,128,146
800,129,146
801,127,146
802,127,146
803,127,146
804,129,146
805,128,146
806,128,146
807,129,146
808,127,146
809,128,146
810,128,146
811,129,146
812,129,146
813,127,146
814,127,146
815,127,146
816,127,146
817,129,146
818,131,146
819,128,146
820,127,146
821,128,146
822,127,146
823,126,146
824,127,146
825,127,146
826,127,146
827,128,146
828,127,145
829,128,145
830,130,145
831,128,145
832,126,145
833,128,145
834,127,145
835,127,145
836,128,145
837,127,145
838,128,145
839,128,145
840,127,145
841,128,145
842,128,145
843,128,145
844,128,145
845,127,145
846,128,145
847,127,145
848,128,145
849,127,145
850,128,145
851,129,145
852,127,145
853,128,145
854,127,145
855,127,145
856,128,145
857,128,145
858,128,145
859,128,145
860,128,145
861,128,145
862,127,145
863,128,145
864,127,145
865,127,145
866,128,145
867,128,145
868,130,145
869,127,145
870,128,145
871,128,145
872,127,145
873,128,145
874,128,145
875,127,145
876,127,145
877,128,145
878,128,145
879,128,145
880,129,145
881,128,145
882,128,145
883,128,145
884,127,145
885,126,145
886,127,145
887,129,145
888,128,145
889,129,145
890,128,145
891,128,145
892,129,145
893,127,145
894,128,145
895,128,145
896,127,145
897,129,145
898,128,145
899,128,145
900,128,145
901,127,145
902,128,145
903,128,145
904,127,145
905,128,144
906,127,145
907,128,144
908,128,144
909,128,144
910,127,144
911,128,144
912,128,144
913,128,144
914,128,144
915,127,144
916,128,144
917,128,144
918,128,144
919,127,144
920,128,144
921,129,144
922,128,144
923,128,144
924,127,144
925,129,144
926,127,144
927,127,144
928,128,144
929,128,144
930,128,144
931,129,144
932,128,144
933,128,144
934,127,144
935,128,144
936,129,144
937,128,144
938,127,144
939,128,144
940,127,144
941,127,144
942,129,144
943,128,144
944,128,144
945,129,144
946,128,144
947,128,144
948,127,144
949,128,144
950,129,144
951,127,144
952,127,144
953,128,144
954,127,144
955,127,144
956,127,144
957,128,144
958,127,144
959,129,144
960,127,144
961,128,144
962,129,144
963,129,144
964,128,144
965,128,144
966,129,144
967,127,144
968,127,144
969,128,144
970,126,144
971,126,144
972,126,143
973,128,144
974,127,143
975,128,143
976,127,143
977,127,143
978,129,143
979,128,143
980,128,143
981,128,143
982,128,143
983,127,143
984,127,143
985,127,143
986,127,143
987,127,143
988,128,143
989,128,143
990,129,143
991,127,143
992,130,143
993,127,143
994,127,143
995,127,143
996,129,143
997,128,143
998,127,143
999,127,143
1000,127,143
1001,127,143
1002,127,143
1003,128,143
1004,128,143
1005,128,143
1006,128,143
1007,128,143
1008,127,143
1009,129,143
1010,128,143
1011,127,143
1012,127,143
1013,129,143
1014,126,143
1015,128,143
1016,128,143
1017,127,143
1018,127,143
1019,128,143
1020,128,143
1021,128,143
1022,128,143
1023,126,143
1024,128,143
1025,128,143
1026,127,143
1027,128,143
1028,127,143
1029,128,143
1030,127,143
1031,128,143
1032,127,143
1033,128,142
1034,127,142
1035,127,142
1036,128,142
1037,128,142
1038,129,142
1039,128,142
1040,128,142
1041,129,142
1042,127,142
1043,127,142
1044,127,142
1045,127,142
1046,127,142
1047,128,142
1048,127,142
1049,127,142
1050,128,142
1051,128,142
1052,127,142
1053,127,142
1054,129,142
1055,128,142
1056,127,142
1057,128,142
1058,127,142
1059,128,142
1060,127,142
1061,128,142
1062,128,142
1063,128,142
1064,127,142
1065,128,142
1066,129,142
1067,127,142
1068,129,142
1069,127,142
1070,128,142
1071,128,142
1072,128,142
1073,128,142
1074,128,142
1075,129,142
1076,128,142
1077,128,142
1078,129,142
1079,128,142
1080,129,142
1081,127,142
1082,128,142
1083,128,142
1084,127,142
1085,128,142
1086,128,142
1087,127,142
1088,128,142
1089,128,142
1090,127,142
1091,128,142
1092,128,142
1093,128,142
1094,128,142
1095,127,142
1096,127,142
1097,127,142
1098,128,142
1099,128,142
1100,128,142
1101,128,142
1102,129,142
1103,127,142
1104,128,142
1105,128,142
1106,128,142
1107,127,142
1108,128,142
1109,128,142
1110,127,142
1111,128,142
1112,127,142
1113,127,142
1114,128,142
1115,128,142
1116,128,142
1117,129,142
1118,128,142
1119,128,142
1120,127,142
1121,127,142
1122,128,142
1123,127,142
1124,128,142
1125,126,142
1126,128,142
1127,129,142
1128,128,142
1129,128,142
1130,127,142
1131,128,142
1132,129,142
1133,127,142
1134,129,142
1135,128,142
1136,127,142
1137,127,142
1138,128,142
1139,128,142
1140,128,142
1141,128,142
1142,128,142
1143,127,142
1144,129,142
1145,128,142
1146,128,142
1147,128,142
1148,128,142
1149,128,142
1150,128,141
1151,129,141
1152,128,141
1153,128,141
1154,128,141
1155,128,141
1156,128,141
1157,127,141
1158,128,141
1159,128,141
1160,127,141
1161,128,141
1162,127,141
1163,127,141
1164,129,141
1165,127,141
1166,127,141
1167,128,141
1168,128,141
1169,128,141
1170,128,141
1171,128,141
1172,127,141
1173,128,141
1174,128,141
1175,128,141
1176,127,141
1177,127,141
1178,128,141
1179,128,141
1180,128,141
1181,127,141
1182,127,141
1183,128,141
1184,128,141
1185,127,141
1186,128,141
1187,128,141
1188,128,141
1189,128,141
1190,128,141
1191,127,141
1192,127,141
1193,127,141
1194,128,141
1195,127,141
1196,126,141
1197,126,141
1198,128,141
1199,128,141
1200,127,141
1201,128,141
1202,128,141
1203,126,141
1204,126,141
1205,128,141
1206,128,141
1207,127,141
1208,129,141
1209,128,141
1210,127,141
1211,128,141
1212,127,141
1213,130,141
1214,128,141
1215,128,141
1216,126,141
1217,127,141
1218,128,141
1219,128,141
1220,128,141
1221,128,141
1222,126,141
1223,125,141
1224,128,141
1225,128,141
1226,129,141
1227,128,141
1228,129,141
1229,129,141
1230,128,141
1231,129,141
1232,128,141
1233,128,141
1234,128,141
1235,127,141
1236,128,141
1237,128,141
1238,127,141
1239,128,141
1240,127,141
1241,127,141
1242,128,141
1243,128,141
1244,128,141
1245,127,141
1246,127,141
1247,128,141
1248,127,141
1249,127,141
1250,128,140
1251,130,140
1252,128,140
1253,127,140
1254,128,140
1255,129,140
1256,129,140
1257,128,140
1258,126,140
1259,128,140
1260,130,140
1261,128,140
1262,128,140
1263,128,140
1264,131,140
1265,128,140
1266,129,140
1267,129,140
1268,127,140
1269,128,140
1270,127,140
1271,128,140
1272,126,140
1273,128,140
1274,126,140
1275,129,140
1276,128,140
1277,128,140
1278,127,140
1279,127,140
1280,128,140
1281,128,140
1282,127,140
1283,127,140
1284,132,140
1285,127,140
1286,128,140
1287,127,140
1288,126,140
1289,126,140
1290,128,140
1291,128,140
1292,127,140
1293,129,140
1294,127,140
1295,127,140
1296,127,140
1297,128,140
1298,127,140
1299,127,140
1300,128,140
1301,124,140
1302,138,140
1303,124,140
1304,129,140
1305,126,140
1306,130,140
1307,127,140
1308,127,140
1309,130,140
1310,126,140
1311,126,140
1312,129,140
1313,131,140
1314,127,140
1315,127,140
1316,126,140
1317,127,139
1318,128,139
1319,129,139
1320,128,139
1321,126,139
1322,124,139
1323,128,139
1324,128,139
1325,128,139
1326,125,139
1327,128,139
1328,128,139
1329,129,139
1330,127,139
1331,129,139
1332,128,139
1333,129,139
1334,128,139
1335,126,139
1336,128,139
1337,127,139
1338,128,139
1339,127,139
1340,127,139
1341,128,139
1342,129,139
1343,127,139
1344,128,139
1345,128,139
1346,128,139
1347,127,139
1348,128,139
1349,128,139
1350,129,139
1351,127,139
1352,127,139
1353,128,139
1354,128,139
1355,128,139
1356,129,139
1357,127,139
1358,128,139
1359,128,139
1360,127,139
1361,128,139
1362,127,139
1363,128,139
1364,129,139
1365,127,139
1366,127,139
1367,128,139
1368,127,139
1369,127,139
1370,128,138
1371,127,138
1372,128,138
1373,127,138
1374,127,138
1375,128,138
1376,128,138
1377,128,138
1378,129,138
1379,128,138
1380,126,138
1381,128,138
1382,127,138
1383,128,138
1384,126,138
1385,128,138
1386,128,138
1387,128,138
1388,128,138
1389,129,138
1390,127,138
1391,128,138
1392,128,138
1393,129,138
1394,128,138
1395,129,138
1396,127,138
1397,129,138
1398,127,138
1399,128,138
1400,127,138
1401,127,138
1402,127,138
1403,127,138
1404,127,138
1405,127,138
1406,128,138
1407,127,138
1408,128,138
1409,128,138
1410,128,138
1411,127,138
1412,127,138
1413,127,138
1414,128,138
1415,128,138
1416,128,138
1417,128,138
1418,127,138
1419,127,138
1420,128,138
1421,127,138
1422,128,138
1423,126,138
1424,128,138
1425,127,138
1426,128,138
1427,128,138
1428,128,138
1429,127,138
1430,129,138
1431,128,138
1432,127,138
1433,128,138
1434,129,138
1435,126,138
1436,128,138
1437,127,138
1438,127,138
1439,127,138
1440,127,138
1441,127,138
1442,128,138
1443,127,138
1444,127,138
1445,128,138
1446,127,138
1447,127,138
1448,127,138
1449,128,138
1450,127,138
1451,127,138
1452,128,138
1453,127,138
1454,128,138
1455,127,138
1456,129,138
1457,128,138
1458,128,138
1459,128,138
1460,128,138
1461,127,138
1462,128,138
1463,128,138
1464,127,138
1465,129,138
1466,127,138
1467,128,138
1468,128,138
1469,127,139
1470,129,139
1471,127,139
1472,128,139
1473,128,138
1474,128,138
1475,128,139
1476,127,139
1477,128,139
1478,128,139
1479,127,139
1480,128,139
1481,128,139
1482,128,139
1483,127,139
1484,127,139
1485,127,139
1486,128,139
1487,127,139
1488,128,139
1489,128,139
1490,128,139
1491,129,139
1492,128,139
1493,128,139
1494,127,139
1495,127,139
1496,128,139
1497,128,139
1498,126,139
1499,127,139
1500,127,139
1501,128,139
1502,127,139
1503,127,139
1504,128,139
1505,128,139
1506,129,139
1507,127,139
1508,128,139
1509,129,139
1510,128,139
1511,128,139
1512,127,139
1513,128,139
1514,128,139
1515,128,139
1516,128,139
1517,128,139
1518,128,139
1519,128,139
1520,128,139
1521,128,139
1522,128,139
1523,128,139
1524,128,139
1525,128,139
1526,128,139
1527,128,139
1528,127,139
1529,128,139
1530,127,139
1531,128,139
1532,128,139
1533,127,139
1534,128,139
1535,128,140
1536,129,140
1537,127,140
1538,127,140
1539,128,140
1540,128,140
1541,127,140
1542,128,140
1543,127,140
1544,127,140
1545,127,140
1546,127,140
1547,127,140
1548,128,140
1549,128,140
1550,128,140
1551,128,140
1552,127,140
1553,127,140
1554,128,140
1555,128,140
1556,127,140
1557,129,140
1558,129,140
1559,127,140
1560,128,140
1561,128,140
1562,128,140
1563,128,140
1564,127,140
1565,129,140
1566,128,140
1567,128,140
1568,128,140
1569,127,140
1570,128,140
1571,128,140
1572,128,140
1573,127,140
1574,128,140
1575,128,140
1576,128,140
1577,127,140
1578,127,140
1579,127,140
1580,127,140
1581,128,140
1582,128,140
1583,128,140
1584,128,140
1585,127,140
1586,127,140
1587,128,140
1588,127,140
1589,128,140
1590,128,140
1591,128,140
1592,127,140
1593,127,140
1594,129,140
1595,128,140
1596,128,140
1597,128,140
1598,128,140
1599,128,140
1600,128,140
1601,126,140
1602,128,140
1603,128,140
1604,128,140
1605,128,140
1606,127,140
1607,129,140
1608,128,140
1609,128,140
1610,127,140
1611,128,140
1612,127,140
1613,127,140
1614,128,140
1615,128,140
1616,128,140
1617,128,140
1618,126,140
1619,127,140
1620,128,140
1621,127,140
1622,128,140
1623,129,140
1624,128,140
1625,128,140
1626,128,140
1627,128,140
1628,128,140
1629,128,140
1630,128,140
1631,128,140
1632,127,140
1633,128,140
1634,127,140
1635,127,140
1636,127,140
1637,128,140
1638,127,140
1639,128,140
1640,128,140
1641,129,140
1642,128,140
1643,128,140
1644,129,140
1645,129,140
1646,128,140
1647,129,140
1648,128,140
1649,127,140
1650,129,140
1651,126,140
1652,126,140
1653,127,140
1654,127,140
1655,128,140
1656,128,140
1657,129,140
1658,127,140
1659,128,140
1660,129,140
1661,128,140
1662,128,140
1663,129,140
1664,128,140
1665,127,140
1666,129,140
1667,127,140
1668,128,140
1669,128,140
1670,127,140
1671,126,140
1672,127,140
1673,127,140
1674,128,140
1675,128,140
1676,127,140
1677,129,140
1678,127,140
1679,128,140
1680,126,140
1681,128,140
1682,127,140
1683,129,140
1684,128,140
1685,127,140
1686,127,140
1687,127,140
1688,128,140
1689,128,140
1690,128,140
1691,127,140
1692,128,140
1693,128,140
1694,128,140
1695,128,140
1696,127,140
1697,127,140
1698,127,140
1699,127,140
1700,127,140
1701,128,140
1702,129,140
1703,131,140
1704,126,140
1705,127,140
1706,128,140
1707,128,140
1708,124,140
1709,128,140
1710,127,140
1711,129,140
1712,126,140
1713,127,140
1714,129,140
1715,127,140
1716,127,140
1717,127,140
1718,129,140
1719,127,140
1720,128,140
1721,130,140
1722,128,140
1723,128,140
1724,128,140
1725,128,140
1726,127,140
1727,128,140
1728,127,140
1729,129,140
1730,128,140
1731,127,140
1732,129,140
1733,128,140
1734,128,140
1735,128,140
1736,128,140
1737,128,140
1738,129,139
1739,127,139
1740,128,140
1741,127,139
1742,127,139
1743,129,139
1744,129,139
1745,129,139
1746,129,139
1747,129,139
1748,127,139
1749,127,139
1750,127,139
1751,130,139
1752,128,139
1753,129,139
1754,128,139
1755,128,139
1756,127,139
1757,127,139
1758,128,139
1759,126,139
1760,127,139
1761,128,139
1762,129,139
1763,128,139
1764,128,139
1765,129,139
1766,128,139
1767,128,139
1768,129,139
1769,127,139
1770,128,139
1771,127,139
1772,128,139
1773,128,139
1774,127,139
1775,128,139
1776,128,139
1777,128,139
1778,128,139
1779,127,139
1780,128,139
1781,128,139
1782,129,139
1783,129,139
1784,128,139
1785,127,139
1786,129,139
1787,127,139
1788,128,139
1789,128,139
1790,128,139
1791,128,139
1792,127,139
1793,128,139
1794,129,139
1795,128,139
1796,127,139
1797,127,139
1798,127,139
1799,129,139
1800,129,139
1801,127,139
1802,128,139
1803,128,139
1804,129,139
1805,128,139
1806,129,139
1807,129,139
1808,128,139
1809,127,139
1810,127,139
1811,128,139
1812,128,139
1813,127,139
1814,129,139
1815,128,139
1816,129,139
1817,127,139
1818,128,139
1819,128,139
1820,128,139
1821,127,139
1822,129,139
1823,128,139
1824,128,139
1825,128,139
1826,127,139
1827,129,139
1828,128,139
1829,128,139
1830,128,139
1831,127,139
1832,128,139
1833,128,139
1834,127,139
1835,127,139
1836,127,139
1837,127,139
1838,127,139
1839,127,139
1840,128,139
1841,128,139
1842,128,139
1843,128,139
1844,128,139
1845,128,139
1846,127,139
1847,127,139
1848,127,139
1849,128,139
1850,128,139
1851,128,139
1852,129,139
1853,128,139
1854,127,139
1855,128,139
1856,127,139
1857,127,139
1858,128,139
1859,127,139
1860,128,139
1861,129,139
1862,127,139
1863,128,139
1864,127,139
1865,128,139
1866,127,139
1867,127,139
1868,127,139
1869,127,139
1870,128,139
1871,127,139
1872,128,139
1873,127,139
1874,128,139
1875,128,139
1876,129,139
1877,128,139
1878,128,139
1879,128,139
1880,128,139
1881,127,139
1882,128,139
1883,128,139
1884,128,139
1885,127,139
1886,126,139
1887,128,139
1888,127,139
1889,128,139
1890,128,139
1891,129,139
1892,128,139
1893,126,139
1894,127,139
1895,127,139
1896,127,139
1897,128,140
1898,128,140
1899,128,140
1900,127,140
1901,127,140
1902,127,140
1903,128,140
1904,127,140
1905,127,140
1906,127,140
1907,128,140
1908,129,140
1909,127,140
1910,128,140
1911,127,140
1912,128,140
1913,128,140
1914,131,140
1915,126,140
1916,127,140
1917,125,140
1918,124,140
1919,129,140
1920,126,140
1921,127,140
1922,127,140
1923,128,140
1924,127,140
1925,127,140
1926,127,140
1927,127,141
1928,125,141
1929,129,141
1930,129,141
1931,128,141
1932,128,141
1933,128,141
1934,127,141
1935,127,141
1936,128,141
1937,127,141
1938,129,141
1939,127,141
1940,128,141
1941,126,141
1942,127,141
1943,127,141
1944,127,141
1945,126,141
1946,128,141
1947,129,141
1948,125,141
1949,128,142
1950,127,142
1951,125,142
1952,127,142
1953,128,142
1954,127,142
1955,128,142
1956,127,142
1957,129,142
1958,130,142
1959,128,142
1960,127,142
1961,127,142
1962,128,142
1963,125,142
1964,129,142
1965,131,142
1966,127,142
1967,127,142
1968,127,142
1969,128,142
1970,127,142
1971,127,142
1972,128,142
1973,127,142
1974,125,142
1975,125,142
1976,126,143
1977,126,143
1978,128,143
1979,128,143
1980,128,143
1981,127,143
1982,124,143
1983,127,143
1984,128,143
1985,129,143
1986,128,143
1987,128,143
1988,127,143
1989,127,143
1990,130,143
1991,127,143
1992,129,143
1993,127,143
1994,126,143
1995,128,143
1996,128,143
1997,126,143
1998,125,143
1999,128,143
2000,128,143
2001,129,143
2002,128,143
2003,128,143
2004,131,143
2005,127,144
2006,129,144
2007,126,144
2008,126,144
2009,125,144
2010,123,144
2011,128,144
2012,128,144
2013,127,144
2014,129,144
2015,127,144
2016,126,144
2017,125,144
2018,129,144
2019,127,144
2020,126,144
2021,128,144
2022,127,144
2023,127,144
2024,128,144
2025,129,144
2026,126,144
2027,129,144
2028,127,144
2029,127,144
2030,127,144
2031,127,144
2032,128,144
2033,127,144
2034,126,144
2035,125,144
2036,128,144
2037,127,144
2038,128,144
2039,127,144
2040,127,144
2041,126,144
2042,129,144
2043,127,144
2044,129,144
2045,127,144
2046,128,144
2047,126,144
2048,127,144
2049,128,144
2050,128,144
2051,128,145
2052,128,145
2053,127,145
2054,128,145
2055,127,145
2056,128,145
2057,129,145
2058,128,145
2059,127,145
2060,127,145
2061,129,145
2062,125,145
2063,127,145
2064,128,145
2065,131,145
2066,127,145
2067,125,145
2068,125,145
2069,128,145
2070,127,145
2071,131,145
2072,127,145
2073,128,145
2074,130,145
2075,128,145
2076,126,145
2077,126,145
2078,126,145
2079,131,145
2080,127,145
2081,128,145
2082,127,145
2083,129,145
2084,127,145
2085,127,145
2086,128,145
2087,128,145
2088,127,145
2089,125,145
2090,128,145
2091,128,145
2092,127,145
2093,127,145
2094,128,145
2095,128,145
2096,127,145
2097,127,145
2098,127,145
2099,128,145
2100,129,145
2101,127,145
2102,130,145
2103,127,145
2104,130,145
2105,128,145
2106,125,145
2107,127,145
2108,128,145
2109,129,145
2110,130,145
2111,129,145
2112,129,145
2113,128,145
2114,129,145
2115,129,145
2116,129,145
2117,127,145
2118,128,145
2119,127,145
2120,127,145
2121,129,145
2122,130,145
2123,127,145
2124,130,145
2125,128,145
2126,128,145
2127,128,145
2128,127,145
2129,127,145
2130,124,145
2131,123,145
2132,126,145
2133,125,145
2134,129,145
2135,126,145
2136,129,145
2137,126,145
