,EMG,EDA
0,127,141
1,128,141
2,127,141
3,127,141
4,128,141
5,128,141
6,128,141
7,128,141
8,128,141
9,128,141
10,128,141
11,128,141
12,128,141
13,127,141
14,128,141
15,128,141
16,127,141
17,128,141
18,128,141
19,128,141
20,128,141
21,128,141
22,128,141
23,128,141
24,128,141
25,128,141
26,128,141
27,128,141
28,128,141
29,128,141
30,127,141
31,128,141
32,128,141
33,128,141
34,128,141
35,127,141
36,127,141
37,127,141
38,127,141
39,128,141
40,128,141
41,128,141
42,128,141
43,128,141
44,127,141
45,128,141
46,127,141
47,127,141
48,128,141
49,127,141
50,128,141
51,127,141
52,128,141
53,127,141
54,128,141
55,128,142
56,128,142
57,128,142
58,127,142
59,127,142
60,128,142
61,128,142
62,127,142
63,127,142
64,128,142
65,128,142
66,127,142
67,127,142
68,128,142
69,127,142
70,128,142
71,127,142
72,128,142
73,128,142
74,127,142
75,128,142
76,128,142
77,129,142
78,127,142
79,128,142
80,129,142
81,128,142
82,128,142
83,128,142
84,129,142
85,128,142
86,128,142
87,128,143
88,127,143
89,128,143
90,127,143
91,127,143
92,127,143
93,128,143
94,129,143
95,127,143
96,128,143
97,128,143
98,128,143
99,128,143
100,128,143
101,127,143
102,128,143
103,127,143
104,127,143
105,128,143
106,128,143
107,127,143
108,128,143
109,127,143
110,129,143
111,127,143
112,128,143
113,127,143
114,127,143
115,128,143
116,127,143
117,128,144
118,128,143
119,128,144
120,128,144
121,127,144
122,129,144
123,128,144
124,127,144
125,128,144
126,128,144
127,128,144
128,127,144
129,128,144
130,127,144
131,128,144
132,128,144
133,127,144
134,129,144
135,127,144
136,128,144
137,127,144
138,127,144
139,127,144
140,128,144
141,128,144
142,128,144
143,127,144
144,128,144
145,127,144
146,127,145
147,128,145
148,128,145
149,127,145
150,128,145
151,128,145
152,127,145
153,128,145
154,128,145
155,127,145
156,128,145
157,128,145
158,127,145
159,128,145
160,127,145
161,128,145
162,128,145
163,127,145
164,127,145
165,128,145
166,127,145
167,128,145
168,128,145
169,127,145
170,128,145
171,127,145
172,128,145
173,128,145
174,127,145
175,128,145
176,128,145
177,128,145
178,127,145
179,128,145
180,128,145
181,128,145
182,128,145
183,127,146
184,128,145
185,128,145
186,128,145
187,128,146
188,128,146
189,128,146
190,128,146
191,128,146
192,127,146
193,128,146
194,128,146
195,127,146
196,128,146
197,127,146
198,128,146
199,128,146
200,128,146
201,128,146
202,127,146
203,128,146
204,128,146
205,128,146
206,128,146
207,128,146
208,128,146
209,128,146
210,127,146
211,128,146
212,128,146
213,128,146
214,128,146
215,128,146
216,127,146
217,128,146
218,128,146
219,128,146
220,128,146
221,128,146
222,128,146
223,127,146
224,128,146
225,127,146
226,127,146
227,128,146
228,127,146
229,128,146
230,128,146
231,127,146
232,128,146
233,128,146
234,128,146
235,128,146
236,128,146
237,128,146
238,128,146
239,128,146
240,128,146
241,128,146
242,128,146
243,128,146
244,128,146
245,128,146
246,127,146
247,128,146
248,128,146
249,128,146
250,128,146
251,128,146
252,128,146
253,128,146
254,128,146
255,128,146
256,128,146
257,127,146
258,127,146
259,128,146
260,128,146
261,128,146
262,127,146
263,127,146
264,128,146
265,128,146
266,127,146
267,127,146
268,128,146
269,127,146
270,128,146
271,128,146
272,127,146
273,127,146
274,128,146
275,127,146
276,128,146
277,127,146
278,127,146
279,128,146
280,128,146
281,128,146
282,128,146
283,128,146
284,127,146
285,128,146
286,128,146
287,128,146
288,127,146
289,128,146
290,128,146
291,127,146
